Name,Location,Average rating,Number of ratings,Price per night,Number of beds,Room type
Apex Grassmarket,Edinburgh,4.5,2200,125.00,2,LUXURY
Bullitt Hotel,Belfast,4.6,890,120.00,1,DELUXE
Clayton Hotel Burlington,Dublin,4.4,2500,135.00,1,DELUXE
Dakota Hotel,Manchester,4.8,1100,165.00,1,DELUXE
Europa Hotel,Belfast,4.5,3100,110.00,2,LUXURY
Grand Hotel,Cardiff,4.3,1600,95.00,1,DELUXE
Hilton Canary Wharf,London,4.4,3200,160.00,2,LUXURY
Holiday Inn Express,Belfast,4.1,1200,85.00,2,LUXURY
Ibis Royal Mile,Edinburgh,4.2,3500,80.00,1,BASIC
Jurys Inn,Glasgow,4.0,2700,70.00,1,BASIC
Kimpton Clocktower,Manchester,4.7,3100,155.00,5,SUITE
Maldron Hotel Parnell,Dublin,4.1,1800,95.00,4,SUITE
Malmaison,Glasgow,4.5,1400,130.00,2,LUXURY
Motel One Royal Exchange,Manchester,4.5,2800,85.00,2,LUXURY
Premier Inn City Centre,Belfast,4.2,5600,65.00,1,BASIC
Radisson Blu,Glasgow,4.4,1900,110.00,1,DELUXE
Savoy Hotel,London,4.8,7200,380.00,1,DELUXE
Sleeperz Hotel,Cardiff,4.1,1100,60.00,2,LUXURY
St Pancras Renaissance,London,4.7,4100,210.00,3,SUITE
Temple Bar Inn,Dublin,4.3,2100,115.00,2,LUXURY
Ten Square Hotel,Belfast,4.4,980,105.00,1,DELUXE
The Balmoral,Edinburgh,4.9,4800,280.00,1,DELUXE
The Merchant Hotel,Belfast,4.8,2450,185.00,1,DELUXE
The Midland,Manchester,4.6,4200,140.00,1,DELUXE
The Ritz,London,4.9,8500,450.00,1,DELUXE
The Shelbourne,Dublin,4.8,3600,250.00,1,DELUXE
Titanic Hotel,Belfast,4.7,1850,145.50,4,SUITE
Titanic Hotel,Liverpool,4.7,2900,125.00,3,SUITE
Travelodge Covent Garden,London,3.9,12400,75.00,1,BASIC
